5.793887,127.0.0.1,127.0.0.1,62528,1120,183,2,3940050341
5.79474,127.0.0.1,127.0.0.1,1120,62528,40,1,1011364523
5.795984,127.0.0.1,127.0.0.1,1120,62528,57,2,1011364523
5.796704,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.797441,127.0.0.1,127.0.0.1,1120,62528,61,2,1011364540
5.798001,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.7986,127.0.0.1,127.0.0.1,1120,62528,77,2,1011364561
5.799059,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.799594,127.0.0.1,127.0.0.1,1120,62528,59,2,1011364598
5.800031,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.800519,127.0.0.1,127.0.0.1,1120,62528,42,2,1011364617
5.800879,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.801422,127.0.0.1,127.0.0.1,1120,62528,859,2,1011364619
5.801749,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.802314,127.0.0.1,127.0.0.1,1120,62528,40,2,1011365438
5.802732,127.0.0.1,127.0.0.1,62528,1120,40,1,3940050484
5.80307,127.0.0.1,127.0.0.1,62528,1120,40,2,3940050484
5.803401,127.0.0.1,127.0.0.1,1120,62528,40,1,1011365439
5.867035,127.0.0.1,127.0.0.1,62527,28194,52,1,405434539
5.869388,127.0.0.1,127.0.0.1,28194,62527,40,2,0
6.082654,192.168.50.90,192.168.1.1,61530,5351,88
6.360107,192.168.50.90,31.13.87.53,51864,443,110,2,3634921203
6.363688,31.13.87.53,192.168.50.90,443,51864,40,1,1651748639
6.466721,127.0.0.1,127.0.0.1,62527,28194,52,1,405434539
6.466926,127.0.0.1,127.0.0.1,28194,62527,40,2,0
6.574395,31.13.87.53,192.168.50.90,443,51864,112,2,1651748639
6.575522,192.168.50.90,31.13.87.53,51864,443,40,1,3634921273
6.880919,127.0.0.1,127.0.0.1,62527,28194,52,1,405434539
6.881166,127.0.0.1,127.0.0.1,28194,62527,40,2,0
7.081729,192.168.50.90,192.168.1.1,61530,5351,88
7.388296,192.168.50.90,142.250.77.3,61956,443,41,1,1310996333
7.38914,127.0.0.1,127.0.0.1,62527,28194,52,1,405434539
7.393113,142.250.77.3,192.168.50.90,443,61956,52,1,1262101164
7.39357,127.0.0.1,127.0.0.1,28194,62527,40,2,0
8.082872,192.168.50.90,192.168.1.1,61531,5351,88
8.175185,192.168.50.90,142.250.204.42,52173,443,41,1,3865055880
8.177197,142.250.204.42,192.168.50.90,443,52173,52,1,233730708
8.390318,127.0.0.1,127.0.0.1,62529,28194,52,1,4247042601
8.391176,127.0.0.1,127.0.0.1,28194,62529,40,2,0
8.806094,127.0.0.1,127.0.0.1,62530,1120,52,1,2586519532
8.806319,127.0.0.1,127.0.0.1,1120,62530,52,2,1543283583
8.80649,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519533
8.806741,127.0.0.1,127.0.0.1,62530,1120,183,2,2586519533
8.806935,127.0.0.1,127.0.0.1,1120,62530,40,1,1543283584
8.807267,127.0.0.1,127.0.0.1,1120,62530,57,2,1543283584
8.807443,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.807634,127.0.0.1,127.0.0.1,1120,62530,61,2,1543283601
8.807801,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.80799,127.0.0.1,127.0.0.1,1120,62530,77,2,1543283622
8.808143,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.808328,127.0.0.1,127.0.0.1,1120,62530,59,2,1543283659
8.808483,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.808669,127.0.0.1,127.0.0.1,1120,62530,42,2,1543283678
8.809439,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.809835,127.0.0.1,127.0.0.1,1120,62530,859,2,1543283680
8.810031,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.810192,127.0.0.1,127.0.0.1,1120,62530,40,2,1543284499
8.810362,127.0.0.1,127.0.0.1,62530,1120,40,1,2586519676
8.81052,127.0.0.1,127.0.0.1,62530,1120,40,2,2586519676
8.810685,127.0.0.1,127.0.0.1,1120,62530,40,1,1543284500
8.897797,127.0.0.1,127.0.0.1,62529,28194,52,1,4247042601
8.898922,127.0.0.1,127.0.0.1,28194,62529,40,2,0
9.098551,192.168.50.90,192.168.1.1,61531,5351,88
9.407577,127.0.0.1,127.0.0.1,62529,28194,52,1,4247042601
9.408671,127.0.0.1,127.0.0.1,28194,62529,40,2,0
9.515776,192.168.50.90,20.42.73.24,63046,443,41,1,934912139
9.516857,162.159.134.234,192.168.50.90,443,61247,113,2,1962510577
9.517779,192.168.50.90,162.159.134.234,61247,443,40,1,1930382769
9.619297,20.42.73.24,192.168.50.90,443,63046,52,1,1867897200
9.912194,127.0.0.1,127.0.0.1,62529,28194,52,1,4247042601
9.912391,127.0.0.1,127.0.0.1,28194,62529,40,2,0
10.110808,192.168.50.90,192.168.1.1,61531,5351,88
10.186854,192.168.50.90,142.250.204.42,50739,443,41,1,2478427065
10.191255,142.250.204.42,192.168.50.90,443,50739,52,1,1670624031
10.369121,192.168.50.90,20.42.73.24,63048,443,41,1,3780795779
10.47648,192.168.50.90,35.186.224.45,53752,443,83,2,3986158378
10.476677,127.0.0.1,127.0.0.1,62529,28194,52,1,4247042601
10.483722,35.186.224.45,192.168.50.90,443,53752,80,2,996447998
10.483925,127.0.0.1,127.0.0.1,28194,62529,40,2,0
10.492103,192.168.50.90,142.250.204.33,57921,443,41,1,1475002992
10.600715,142.250.204.33,192.168.50.90,443,57921,52,1,2284816440
10.602217,192.168.50.90,35.186.224.45,53752,443,40,1,3986158421
10.602894,20.42.73.24,192.168.50.90,443,63048,52,1,1089533063
10.716381,142.250.198.68,192.168.50.90,443,62523,40,2,1836809086
10.716614,192.168.50.90,142.250.198.68,62523,443,40,1,2378794679
11.124534,192.168.50.90,142.250.198.65,53231,443,41,1,2970514120
11.125101,192.168.50.90,192.168.1.1,61532,5351,88
11.12764,142.250.198.65,192.168.50.90,443,53231,52,1,2122932159
11.416993,127.0.0.1,127.0.0.1,62531,28194,52,1,2426097804
