0.326779,74.125.247.128,192.168.50.90,3478,50640,97
0.335011,74.125.247.128,192.168.50.90,3478,50640,97
0.335966,192.168.50.90,74.125.247.128,50640,3478,69
0.337046,192.168.50.90,74.125.247.128,50640,3478,461
0.337343,192.168.50.90,74.125.247.128,50640,3478,1229
0.337571,192.168.50.90,74.125.247.128,50640,3478,1229
0.337793,192.168.50.90,74.125.247.128,50640,3478,1229
0.338027,192.168.50.90,74.125.247.128,50640,3478,701
0.338326,74.125.247.128,192.168.50.90,3478,50640,54
0.353847,74.125.247.128,192.168.50.90,3478,50640,97
0.358928,74.125.247.128,192.168.50.90,3478,50640,69
0.359193,192.168.50.90,74.125.247.128,50640,3478,69
0.359481,192.168.50.90,74.125.247.128,50640,3478,786
0.359694,192.168.50.90,74.125.247.128,50640,3478,125
0.36632,192.168.50.90,74.125.247.128,50640,3478,458
0.366598,192.168.50.90,74.125.247.128,50640,3478,463
0.374721,74.125.247.128,192.168.50.90,3478,50640,97
0.385619,74.125.247.128,192.168.50.90,3478,50640,69
0.3859,192.168.50.90,74.125.247.128,50640,3478,69
0.396722,192.168.50.90,74.125.247.128,50640,3478,450
0.399772,192.168.50.90,74.125.247.128,50640,3478,756
0.4,192.168.50.90,74.125.247.128,50640,3478,125
0.401719,74.125.247.128,192.168.50.90,3478,50640,69
0.402698,74.125.247.128,192.168.50.90,3478,50640,69
0.402982,74.125.247.128,192.168.50.90,3478,50640,69
0.403172,74.125.247.128,192.168.50.90,3478,50640,97
0.40335,74.125.247.128,192.168.50.90,3478,50640,69
0.403528,74.125.247.128,192.168.50.90,3478,50640,54
0.403701,192.168.50.90,74.125.247.128,50640,3478,69
0.427372,192.168.50.90,74.125.247.128,50640,3478,471
0.427632,192.168.50.90,74.125.247.128,50640,3478,461
0.438317,192.168.50.90,74.125.247.128,50640,3478,610
0.438561,192.168.50.90,74.125.247.128,50640,3478,125
0.440312,74.125.247.128,192.168.50.90,3478,50640,69
0.447519,74.125.247.128,192.168.50.90,3478,50640,54
0.472627,192.168.50.90,74.125.247.128,50640,3478,460
0.472898,192.168.50.90,74.125.247.128,50640,3478,461
0.474449,192.168.50.90,74.125.247.128,50640,3478,655
0.474675,192.168.50.90,74.125.247.128,50640,3478,117
0.48051,74.125.247.128,192.168.50.90,3478,50640,69
0.498492,74.125.247.128,192.168.50.90,3478,50640,54
0.504262,192.168.50.90,74.125.247.128,50640,3478,460
0.504708,192.168.50.90,74.125.247.128,50640,3478,461
0.508737,74.125.247.128,192.168.50.90,3478,50640,69
0.516304,192.168.50.90,74.125.247.128,50640,3478,673
0.516564,192.168.50.90,74.125.247.128,50640,3478,117
