time,source_IP,destination_IP,source_Port,destination_Port,package_length
1.536341,192.168.212.37,39.1.101.199,3659,3659,69
1.555572,39.1.101.199,192.168.212.37,3659,3659,69
1.55657,192.168.212.37,39.1.101.199,3659,3659,69
1.576517,39.1.101.199,192.168.212.37,3659,3659,69
1.576517,192.168.212.37,39.1.101.199,3659,3659,69
1.597461,39.1.101.199,192.168.212.37,3659,3659,69
1.597461,192.168.212.37,39.1.101.199,3659,3659,69
1.617412,192.168.212.37,39.1.101.199,3659,3659,69
1.618403,39.1.101.199,192.168.212.37,3659,3659,69
1.631381,39.1.101.199,192.168.212.37,3659,3659,53
1.631381,192.168.212.37,39.1.101.199,3659,3659,34
1.635359,192.168.212.37,39.1.101.199,3659,3659,53
1.637354,192.168.212.37,39.1.101.199,3659,3659,69
1.638351,39.1.101.199,192.168.212.37,3659,3659,69
1.658298,192.168.212.37,39.1.101.199,3659,3659,69
1.660292,39.1.101.199,192.168.212.37,3659,3659,69
1.671883,192.168.212.37,35.215.187.112,50697,50001,68
1.680855,192.168.212.37,39.1.101.199,3659,3659,69
1.681853,39.1.101.199,192.168.212.37,3659,3659,69
1.701798,39.1.101.199,192.168.212.37,3659,3659,69
1.705789,192.168.212.37,39.1.101.199,3659,3659,69
1.722742,39.1.101.199,192.168.212.37,3659,3659,69
1.731719,192.168.212.37,39.1.101.199,3659,3659,69
1.73471,39.1.101.199,192.168.212.37,3659,3659,34
1.745682,39.1.101.199,192.168.212.37,3659,3659,69
1.755662,192.168.212.37,39.1.101.199,3659,3659,37
1.75865,192.168.212.37,39.1.101.199,3659,3659,69
1.763727,39.1.101.199,192.168.212.37,3659,3659,64
1.763727,39.1.101.199,192.168.212.37,3659,3659,69
1.783584,192.168.212.37,39.1.101.199,3659,3659,69
1.78458,39.1.101.199,192.168.212.37,3659,3659,69
1.79057,39.1.101.199,192.168.212.37,3659,3659,37
1.805525,39.1.101.199,192.168.212.37,3659,3659,69
1.809515,192.168.212.37,39.1.101.199,3659,3659,69
1.826468,39.1.101.199,192.168.212.37,3659,3659,69
1.834449,192.168.212.37,39.1.101.199,3659,3659,69
1.847417,39.1.101.199,192.168.212.37,3659,3659,69
1.860382,192.168.212.37,39.1.101.199,3659,3659,69
1.86836,39.1.101.199,192.168.212.37,3659,3659,69
1.86836,192.168.212.37,39.1.101.199,3659,3659,34
1.883914,192.168.212.37,39.1.101.199,3659,3659,69
1.889903,39.1.101.199,192.168.212.37,3659,3659,69
1.906325,192.168.212.37,39.1.101.199,3659,3659,69
1.910319,39.1.101.199,192.168.212.37,3659,3659,69
1.927267,192.168.212.37,39.1.101.199,3659,3659,69
1.930259,39.1.101.199,192.168.212.37,3659,3659,69
1.948339,192.168.212.37,39.1.101.199,3659,3659,69
1.952328,39.1.101.199,192.168.212.37,3659,3659,69
1.968809,192.168.212.37,39.1.101.199,3659,3659,69
1.972797,39.1.101.199,192.168.212.37,3659,3659,69
1.989752,192.168.212.37,39.1.101.199,3659,3659,69
1.999727,39.1.101.199,192.168.212.37,3659,3659,69
2.005711,35.215.187.112,192.168.212.37,50001,50697,60
2.011693,192.168.212.37,39.1.101.199,3659,3659,69
2.013689,39.1.101.199,192.168.212.37,3659,3659,69
2.033634,192.168.212.37,39.1.101.199,3659,3659,69
2.03563,39.1.101.199,192.168.212.37,3659,3659,69
2.053583,192.168.212.37,39.1.101.199,3659,3659,69
2.055577,39.1.101.199,192.168.212.37,3659,3659,69
2.069542,39.1.101.199,192.168.212.37,3659,3659,64
2.075524,192.168.212.37,39.1.101.199,3659,3659,69
2.076519,39.1.101.199,192.168.212.37,3659,3659,69
2.09647,192.168.212.37,39.1.101.199,3659,3659,69
