24.480433,192.168.50.90,192.168.50.1,58732,53,49
24.480861,192.168.50.90,192.168.50.1,60343,53,55
24.481235,192.168.50.90,192.168.50.1,64093,53,55
24.496027,192.168.50.1,192.168.50.90,53,55371,113
24.496801,192.168.50.1,192.168.50.90,53,58732,114
24.497688,192.168.50.1,192.168.50.90,53,60343,119
24.498083,192.168.50.1,192.168.50.90,53,64093,137
24.537762,192.168.50.90,192.168.50.1,61245,53,59
24.538056,192.168.50.90,192.168.50.1,54254,53,59
24.54218,192.168.50.1,192.168.50.90,53,61245,123
24.542601,192.168.50.1,192.168.50.90,53,54254,141
24.56942,192.168.50.90,142.250.204.36,65315,443,1258
24.571517,192.168.50.90,192.168.50.1,51591,53,55
24.571961,192.168.50.90,192.168.50.1,64550,53,55
24.577083,192.168.50.1,192.168.50.90,53,51591,233
24.577812,192.168.50.1,192.168.50.90,53,64550,183
24.993636,192.168.50.90,192.168.50.1,59781,53,57
24.994153,192.168.50.90,192.168.50.1,63046,53,57
25.05621,192.168.50.1,192.168.50.90,53,59781,113
25.057007,192.168.50.1,192.168.50.90,53,63046,181
25.07415,192.168.50.90,142.250.196.202,52376,443,1258
25.120985,192.168.50.90,142.250.204.36,60094,443,1258
25.135252,192.168.50.90,142.250.198.67,57151,443,1258
25.166275,192.168.50.90,142.250.77.3,53504,443,1258
25.182638,192.168.50.90,192.168.50.1,57194,53,57
25.182928,192.168.50.90,192.168.50.1,55164,53,57
25.184004,192.168.50.1,192.168.50.90,53,57194,121
25.186514,192.168.50.1,192.168.50.90,53,55164,114
25.22617,192.168.50.90,192.168.50.1,55461,53,46
25.226486,192.168.50.90,192.168.50.1,54330,53,46
25.229883,192.168.50.1,192.168.50.90,53,55461,95
25.230575,192.168.50.1,192.168.50.90,53,54330,163
25.261949,192.168.50.90,66.22.210.44,61938,50020,68
25.370169,192.168.50.90,142.250.66.74,64637,443,1258
25.370491,192.168.50.90,142.250.66.74,64637,443,1258
25.371677,66.22.210.44,192.168.50.90,50020,61938,60
25.677033,192.168.50.90,142.250.66.74,64637,443,1258
26.280835,192.168.50.90,142.250.66.74,64637,443,1258
26.372146,66.22.210.44,192.168.50.90,50020,61938,60
27.125726,192.168.50.90,66.22.210.44,61938,50020,36
27.346568,192.168.50.90,192.168.50.1,55892,53,40
27.346968,192.168.50.90,192.168.50.1,65446,53,40
27.352467,192.168.50.1,192.168.50.90,53,55892,56
27.353128,192.168.50.1,192.168.50.90,53,65446,105
27.371461,66.22.210.44,192.168.50.90,50020,61938,60
27.492186,192.168.50.90,142.250.66.74,64637,443,1258
28.333458,192.168.50.90,66.22.210.44,61938,50020,16
28.372403,66.22.210.44,192.168.50.90,50020,61938,80
28.405377,66.22.210.44,192.168.50.90,50020,61938,16
28.514526,192.168.50.90,192.168.50.1,51794,53,37
28.515179,192.168.50.90,192.168.50.1,59394,53,37
28.528734,192.168.50.1,192.168.50.90,53,51794,69
28.529134,192.168.50.1,192.168.50.90,53,59394,98
28.942264,192.168.50.90,192.168.50.1,58621,53,43
28.942552,192.168.50.90,192.168.50.1,54560,53,43
28.945792,192.168.50.1,192.168.50.90,53,58621,75
28.946424,192.168.50.1,192.168.50.90,53,54560,105
28.961771,192.168.50.90,192.168.50.1,51414,53,40
28.962084,192.168.50.90,192.168.50.1,56124,53,40
28.968992,192.168.50.1,192.168.50.90,53,51414,72
28.969604,192.168.50.1,192.168.50.90,53,56124,101
29.021449,192.168.50.90,172.64.146.98,55988,443,1258
29.02219,192.168.50.90,172.64.146.98,55988,443,1258
29.058606,192.168.50.90,192.168.50.1,49555,53,51
29.058897,192.168.50.90,192.168.50.1,54468,53,51
29.065429,192.168.50.1,192.168.50.90,53,49555,96
29.066598,192.168.50.1,192.168.50.90,53,54468,137
29.118793,192.168.50.90,192.168.50.1,57158,53,46
29.119131,192.168.50.90,192.168.50.1,54393,53,46
29.129193,192.168.50.1,192.168.50.90,53,57158,62
29.129837,192.168.50.1,192.168.50.90,53,54393,97
29.17342,192.168.50.90,172.64.146.98,56049,443,1258
29.173721,192.168.50.90,172.64.146.98,56049,443,1258
29.300909,192.168.50.90,35.190.80.1,50035,443,1258
29.301375,192.168.50.90,35.190.80.1,50035,443,1258
29.322222,192.168.50.90,192.168.50.1,53106,53,58
29.325671,192.168.50.1,192.168.50.90,53,53106,183
29.333077,192.168.50.90,172.64.146.98,55988,443,1258
29.370972,192.168.50.90,142.250.66.74,64637,443,1258
29.37449,66.22.210.44,192.168.50.90,50020,61938,60
29.474503,192.168.50.90,172.64.146.98,56049,443,1258
29.610901,192.168.50.90,35.190.80.1,50035,443,1258
29.700939,192.168.50.90,192.168.50.1,57241,53,57
29.701732,192.168.50.90,192.168.50.1,58923,53,57
29.704616,192.168.50.1,192.168.50.90,53,57241,121
29.705986,192.168.50.1,192.168.50.90,53,58923,114
29.733672,192.168.50.90,142.250.204.33,54924,443,1258
29.734384,192.168.50.90,142.250.204.33,54924,443,1258
29.940416,192.168.50.90,172.64.146.98,55988,443,1258
30.034077,192.168.50.90,142.250.204.33,54924,443,1258
30.081287,192.168.50.90,172.64.146.98,56049,443,1258
30.094732,192.168.50.90,192.168.50.1,54946,53,50
30.095048,192.168.50.90,192.168.50.1,59346,53,50
30.100063,192.168.50.1,192.168.50.90,53,54946,178
30.100599,192.168.50.1,192.168.50.90,53,59346,128
30.174656,192.168.50.90,192.168.50.1,50161,53,36
30.175046,192.168.50.90,192.168.50.1,54189,53,36
30.175756,192.168.50.90,192.168.50.1,58296,53,42
30.176168,192.168.50.90,192.168.50.1,56996,53,42
30.179467,192.168.50.1,192.168.50.90,53,56996,102
30.181306,192.168.50.1,192.168.50.90,53,58296,74
30.185012,192.168.50.90,192.168.50.1,54242,53,54
30.185591,192.168.50.90,192.168.50.1,55044,53,54
30.189034,192.168.50.1,192.168.50.90,53,54242,102
30.189631,192.168.50.1,192.168.50.90,53,55044,138
30.21134,192.168.50.90,35.190.80.1,50035,443,1258
30.216055,192.168.50.90,192.168.50.1,63946,53,50
30.216466,192.168.50.90,192.168.50.1,54102,53,50
30.221002,192.168.50.1,192.168.50.90,53,54102,131
30.221863,192.168.50.1,192.168.50.90,53,63946,114
30.267164,192.168.50.1,192.168.50.90,53,50161,68
30.311953,192.168.50.90,192.168.50.1,60654,53,44
30.312259,192.168.50.90,192.168.50.1,50329,53,44
30.317398,192.168.50.1,192.168.50.90,53,60654,172
30.3182,192.168.50.1,192.168.50.90,53,50329,122
30.371378,66.22.210.44,192.168.50.90,50020,61938,60
30.583859,192.168.50.1,192.168.50.90,53,54189,107
30.617035,192.168.50.90,192.168.50.1,50511,53,41
30.617639,192.168.50.90,192.168.50.1,64250,53,41
30.618066,192.168.50.90,162.159.153.4,59999,443,1258
30.618436,192.168.50.90,162.159.153.4,59999,443,1258
30.634822,192.168.50.90,142.250.204.33,54924,443,1258
30.648221,192.168.50.1,192.168.50.90,53,64250,101
30.651117,192.168.50.1,192.168.50.90,53,50511,73
30.660525,192.168.50.90,192.168.50.1,63695,53,47
30.660916,192.168.50.90,192.168.50.1,52689,53,47
30.667926,192.168.50.1,192.168.50.90,53,52689,107
30.668823,192.168.50.1,192.168.50.90,53,63695,79
30.710818,192.168.50.90,192.168.50.1,51714,53,55
30.711273,192.168.50.90,192.168.50.1,55848,53,55
30.711679,192.168.50.90,162.159.153.4,57628,443,1258
30.711984,192.168.50.90,162.159.153.4,57628,443,1258
30.724804,192.168.50.90,162.159.153.4,52578,443,1258
30.725331,192.168.50.90,162.159.153.4,52578,443,1258
30.804211,192.168.50.90,192.168.50.1,61501,53,55
30.804566,192.168.50.90,192.168.50.1,61086,53,55
30.808642,192.168.50.1,192.168.50.90,53,61501,87
30.80948,192.168.50.1,192.168.50.90,53,61086,125
30.922827,192.168.50.90,162.159.153.4,59999,443,1258
31.013791,192.168.50.90,162.159.153.4,57628,443,1258
31.028787,192.168.50.90,162.159.153.4,52578,443,1258
31.133373,192.168.50.90,162.159.153.4,62366,443,1258
31.133813,192.168.50.90,162.159.153.4,62366,443,1258
31.146936,192.168.50.90,172.64.146.98,55988,443,1258
31.288853,192.168.50.90,172.64.146.98,56049,443,1258
31.336039,192.168.50.90,162.159.153.4,55328,443,1258
31.336653,192.168.50.90,162.159.153.4,55328,443,1258
31.379222,66.22.210.44,192.168.50.90,50020,61938,80
31.412703,192.168.50.90,35.190.80.1,50035,443,1258
31.423934,192.168.50.90,192.168.50.1,60116,53,39
31.424356,192.168.50.90,192.168.50.1,63485,53,39
31.424706,192.168.50.90,192.168.50.1,59917,53,37
31.425021,192.168.50.90,192.168.50.1,60076,53,37
31.428059,192.168.50.1,192.168.50.90,53,60116,100
31.42904,192.168.50.1,192.168.50.90,53,63485,141
31.434097,192.168.50.90,162.159.153.4,62366,443,1258
31.439651,192.168.50.1,192.168.50.90,53,59917,101
31.440181,192.168.50.1,192.168.50.90,53,60076,94
31.44691,192.168.50.90,192.168.50.1,53317,53,62
31.447943,192.168.50.90,192.168.50.1,62160,53,62
31.449544,192.168.50.90,192.168.50.1,53728,53,57
31.44988,192.168.50.90,192.168.50.1,52492,53,57
31.456034,192.168.50.1,192.168.50.90,53,53728,121
31.457217,192.168.50.1,192.168.50.90,53,53317,111
31.45803,192.168.50.1,192.168.50.90,53,62160,117
31.458731,192.168.50.1,192.168.50.90,53,52492,114
31.526865,192.168.50.90,162.159.153.4,59999,443,1258
31.535399,192.168.50.90,192.168.50.1,59095,53,44
31.535838,192.168.50.90,192.168.50.1,63695,53,44
31.553702,192.168.50.1,192.168.50.90,53,63695,171
31.55883,192.168.50.90,192.168.50.1,58995,53,57
31.559308,192.168.50.90,192.168.50.1,57155,53,57
31.560875,192.168.50.1,192.168.50.90,53,58995,121
31.562339,192.168.50.1,192.168.50.90,53,59095,141
31.564808,192.168.50.1,192.168.50.90,53,57155,114
31.613883,192.168.50.90,162.159.153.4,57628,443,1258
31.628865,192.168.50.90,162.159.153.4,52578,443,1258
31.635809,192.168.50.90,162.159.153.4,55328,443,1258
31.834754,192.168.50.90,142.250.204.33,54924,443,1258
32.038252,192.168.50.90,162.159.153.4,62366,443,1258
32.127612,192.168.50.90,66.22.210.44,61938,50020,36
32.236074,192.168.50.90,162.159.153.4,55328,443,1258
32.371397,66.22.210.44,192.168.50.90,50020,61938,60
32.509106,192.168.50.90,66.22.210.44,61938,50020,68
32.72903,192.168.50.90,162.159.153.4,59999,443,1258
32.814975,192.168.50.90,162.159.153.4,57628,443,1258
32.839114,192.168.50.90,162.159.153.4,52578,443,1258
33.02204,192.168.50.90,172.64.146.98,55988,443,1258
33.110611,192.168.50.90,192.168.50.1,52866,53,54
33.110959,192.168.50.90,192.168.50.1,49767,53,54
33.113055,192.168.50.90,192.168.50.1,64134,53,42
33.11335,192.168.50.90,192.168.50.1,50697,53,42
33.115968,192.168.50.1,192.168.50.90,53,52866,182
33.117326,192.168.50.1,192.168.50.90,53,49767,141
33.120457,192.168.50.1,192.168.50.90,53,64134,170
33.121458,192.168.50.1,192.168.50.90,53,50697,124
33.175885,192.168.50.90,172.64.146.98,56049,443,1258
33.252096,192.168.50.90,162.159.153.4,62366,443,1258
33.306554,192.168.50.90,35.190.80.1,50035,443,1258
33.333726,192.168.50.90,66.22.210.44,61938,50020,16
33.372087,66.22.210.44,192.168.50.90,50020,61938,60
33.405578,66.22.210.44,192.168.50.90,50020,61938,16
33.45084,192.168.50.90,162.159.153.4,55328,443,1258
33.458913,192.168.50.90,192.168.50.1,60177,53,40
33.45923,192.168.50.90,192.168.50.1,62737,53,40
33.463122,192.168.50.1,192.168.50.90,53,60177,116
33.464558,192.168.50.1,192.168.50.90,53,62737,157
33.465057,192.168.50.90,104.21.95.119,59564,443,1258
33.465671,192.168.50.90,104.21.95.119,59564,443,1258
33.735753,192.168.50.90,142.250.204.33,54924,443,1258
33.7742,192.168.50.90,104.21.95.119,59564,443,1258
34.179546,192.168.50.90,104.21.95.119,62075,443,1258
34.180025,192.168.50.90,104.21.95.119,62075,443,1258
34.328701,192.168.50.90,192.168.50.1,50775,53,55
34.329715,192.168.50.90,192.168.50.1,60562,53,55
34.330421,192.168.50.1,192.168.50.90,53,50775,87
34.337366,192.168.50.1,192.168.50.90,53,60562,125
34.33949,192.168.50.90,192.168.50.1,53397,53,38
34.340155,192.168.50.90,192.168.50.1,56204,53,38
34.340733,192.168.50.90,192.168.50.1,61576,53,40
34.341374,192.168.50.90,192.168.50.1,56375,53,40
34.34419,192.168.50.1,192.168.50.90,53,53397,144
34.345068,192.168.50.1,192.168.50.90,53,56204,121
34.34732,192.168.50.1,192.168.50.90,53,61576,203
34.348707,192.168.50.1,192.168.50.90,53,56375,233
34.371991,66.22.210.44,192.168.50.90,50020,61938,60
34.376335,192.168.50.90,104.21.95.119,59564,443,1258
34.484798,192.168.50.90,104.21.95.119,62075,443,1258
34.622753,192.168.50.90,162.159.153.4,59999,443,1258
34.715722,192.168.50.90,162.159.153.4,57628,443,1258
34.728372,192.168.50.90,162.159.153.4,52578,443,1258
34.910203,192.168.50.90,192.168.50.1,64314,53,38
34.910498,192.168.50.90,192.168.50.1,52202,53,38
34.916687,192.168.50.1,192.168.50.90,53,64314,121
34.918584,192.168.50.1,192.168.50.90,53,52202,175
35.087664,192.168.50.90,104.21.95.119,62075,443,1258
35.148398,192.168.50.90,162.159.153.4,62366,443,1258
35.346301,192.168.50.90,162.159.153.4,55328,443,1258
35.371881,66.22.210.44,192.168.50.90,50020,61938,60
35.577334,192.168.50.90,104.21.95.119,59564,443,1258
36.292712,192.168.50.90,104.21.95.119,62075,443,1258
36.371657,66.22.210.44,192.168.50.90,50020,61938,80
36.618688,192.168.50.90,66.22.210.44,61938,50020,68
37.372102,66.22.210.44,192.168.50.90,50020,61938,60
37.480569,192.168.50.90,104.21.95.119,59564,443,1258
37.804359,192.168.50.90,192.168.50.1,52119,53,56
37.80465,192.168.50.90,192.168.50.1,53750,53,56
37.80852,192.168.50.1,192.168.50.90,53,53750,143
37.864538,192.168.50.1,192.168.50.90,53,52119,152
37.96869,192.168.50.90,66.22.210.44,61938,50020,36
38.088848,192.168.50.90,192.168.50.1,55645,53,56
38.089493,192.168.50.90,192.168.50.1,50752,53,56
38.094306,192.168.50.1,192.168.50.90,53,55645,152
38.095197,192.168.50.1,192.168.50.90,53,50752,143
38.191332,192.168.50.90,104.21.95.119,62075,443,1258
38.333809,192.168.50.90,66.22.210.44,61938,50020,16
38.371706,66.22.210.44,192.168.50.90,50020,61938,60
38.404853,66.22.210.44,192.168.50.90,50020,61938,16
38.476784,66.22.210.44,192.168.50.90,50020,61938,144
38.494583,66.22.210.44,192.168.50.90,50020,61938,146
38.517128,66.22.210.44,192.168.50.90,50020,61938,158
38.537186,66.22.210.44,192.168.50.90,50020,61938,175
38.555004,66.22.210.44,192.168.50.90,50020,61938,175
38.576767,66.22.210.44,192.168.50.90,50020,61938,175
38.596772,66.22.210.44,192.168.50.90,50020,61938,162
38.615046,66.22.210.44,192.168.50.90,50020,61938,163
38.639214,66.22.210.44,192.168.50.90,50020,61938,147
38.65723,66.22.210.44,192.168.50.90,50020,61938,155
38.680769,66.22.210.44,192.168.50.90,50020,61938,158
38.69718,66.22.210.44,192.168.50.90,50020,61938,171
38.718465,66.22.210.44,192.168.50.90,50020,61938,173
38.736485,66.22.210.44,192.168.50.90,50020,61938,168
38.756746,66.22.210.44,192.168.50.90,50020,61938,160
38.776808,66.22.210.44,192.168.50.90,50020,61938,146
38.797159,66.22.210.44,192.168.50.90,50020,61938,139
38.817067,66.22.210.44,192.168.50.90,50020,61938,131
38.837712,66.22.210.44,192.168.50.90,50020,61938,129
38.857169,66.22.210.44,192.168.50.90,50020,61938,55
38.87493,66.22.210.44,192.168.50.90,50020,61938,55
38.897126,66.22.210.44,192.168.50.90,50020,61938,55
38.922621,66.22.210.44,192.168.50.90,50020,61938,55
38.936629,66.22.210.44,192.168.50.90,50020,61938,55
38.956661,66.22.210.44,192.168.50.90,50020,61938,55
38.978056,66.22.210.44,192.168.50.90,50020,61938,55
39.005546,66.22.210.44,192.168.50.90,50020,61938,55
39.020027,66.22.210.44,192.168.50.90,50020,61938,55
39.038602,66.22.210.44,192.168.50.90,50020,61938,55
39.371382,66.22.210.44,192.168.50.90,50020,61938,60
39.378172,66.22.210.44,192.168.50.90,50020,61938,111
39.396381,66.22.210.44,192.168.50.90,50020,61938,111
39.416566,66.22.210.44,192.168.50.90,50020,61938,138
39.440943,66.22.210.44,192.168.50.90,50020,61938,184
39.456432,66.22.210.44,192.168.50.90,50020,61938,225
39.477063,66.22.210.44,192.168.50.90,50020,61938,223
39.504803,66.22.210.44,192.168.50.90,50020,61938,187
39.51858,66.22.210.44,192.168.50.90,50020,61938,194
39.535876,66.22.210.44,192.168.50.90,50020,61938,204
39.554449,66.22.210.44,192.168.50.90,50020,61938,199
39.576778,66.22.210.44,192.168.50.90,50020,61938,187
39.595074,66.22.210.44,192.168.50.90,50020,61938,143
39.614454,66.22.210.44,192.168.50.90,50020,61938,128
39.635003,66.22.210.44,192.168.50.90,50020,61938,117
39.656475,66.22.210.44,192.168.50.90,50020,61938,116
39.676622,66.22.210.44,192.168.50.90,50020,61938,116
39.698377,66.22.210.44,192.168.50.90,50020,61938,55
39.716276,66.22.210.44,192.168.50.90,50020,61938,55
39.736361,66.22.210.44,192.168.50.90,50020,61938,55
39.758574,66.22.210.44,192.168.50.90,50020,61938,55
39.776515,66.22.210.44,192.168.50.90,50020,61938,55
39.794764,66.22.210.44,192.168.50.90,50020,61938,55
39.818222,66.22.210.44,192.168.50.90,50020,61938,55
39.836213,66.22.210.44,192.168.50.90,50020,61938,55
39.857029,66.22.210.44,192.168.50.90,50020,61938,55
39.87844,66.22.210.44,192.168.50.90,50020,61938,55
40.376265,66.22.210.44,192.168.50.90,50020,61938,80
41.156666,192.168.50.90,192.168.50.1,53106,53,40
41.162879,192.168.50.1,192.168.50.90,53,53106,228
41.372565,66.22.210.44,192.168.50.90,50020,61938,60
41.506985,192.168.50.90,192.168.50.1,50955,53,50
41.507262,192.168.50.90,192.168.50.1,62342,53,50
41.511432,192.168.50.1,192.168.50.90,53,50955,66
41.511865,192.168.50.1,192.168.50.90,53,62342,155
42.371965,66.22.210.44,192.168.50.90,50020,61938,60
42.737063,192.168.50.90,66.22.210.44,61938,50020,68
